title,views,likes,title_len,pipes,title_ok,desc_opens_content,has_cta,tag_count,has_brand_tag,tags_ok,score_4,video_id
Sultana's Dream By Rokeya Sakhawat Hossain | line by line explanation in Hindi,45524,1255,78,1,1,1,1,18,1,1,4,8eOCn5Aoy2k
Touch by Meena Kandasamy | Explanation | Summary | Ba Eng Hons | 2nd semester,12340,207,77,4,0,1,0,16,0,0,1,fhie3346vjY
"""Ones Who Walk Away From Omelas"" by  Ursula K. Le Guin | Summary and Analysis in Hindi | Explanation",11103,223,100,2,0,0,1,26,1,0,1,GyQz0V0NThM
Perhaps the world ends here by Joy Harjo | Analysis | Line by line Explanation | Summary in Hindi,6264,94,97,3,0,0,1,11,0,0,1,mSCE4yxShOM
They Flee From Me by Sir Thomas Wyatt | Thomas Wyatt | Line by line explanation,6166,125,79,2,1,0,1,16,0,0,2,lHGB5DXZCt8
Whoso List To Hunt by Thomas Wyatt  | Summary | DU | SOL | 2nd semester | NOTES IN DESCRIPTION,6123,123,94,5,0,0,1,14,0,0,1,rEq7Nb_MaIY
Beloved by Toni Morrison | Themes of Beloved | Major Themes | American Literature | Ba English Hons,4860,85,99,4,0,1,0,19,0,0,1,4DYyUpxysQM
The Negro Speaks of Rivers Summary In Hindi | Line By Line Explanation In Hindi,4177,82,79,1,1,0,1,12,1,1,3,EIcRu5nmZmk
Introduction To The Songs Of Innocence by william blake,3947,97,55,0,1,0,0,9,0,0,1,dUWQ0fFicHs
Seventeen Oranges | Class 6th | Roots and wings | English Literature | Bill Naughton,3942,51,84,4,0,0,0,5,0,0,0,m4CkN49k5mY
Huck Saves The Life Of Widow Douglas Explanation in Hindi | Roots and Wings Class 6th |  Mark Twain,3747,70,99,2,0,1,0,12,0,0,1,3pAeXuY0Vos
A Supermarket In California Allen Ginsberg Summary In Hindi,3464,53,59,0,1,0,1,13,0,0,2,TQbJHofFV24
Comment On The Themes Discussed In Abhijnana Shakuntala | Important Question | DU | SOL | IGNOU | BA,3347,94,100,5,0,1,1,18,0,0,2,m_WG_zpHW-o
In Custody by Anita Desai Summary in Hindi Explanation and Full Analysis in hindi | Ba eng hons,3025,81,95,1,0,0,1,15,1,1,2,5-YCbGuaO60
Beloved by Toni Morrison | Important Question Answers part 1 | DU | SOL | 2nd Yr | Most Expected,2484,67,96,5,0,1,1,20,0,0,2,8N3V7ibegSw
Comment on the theme of partition in The Shadow Lines | DU | SOL | ABE | NOTES IN DESCRIPTION,2483,54,93,4,0,0,1,11,0,0,1,2zMP61djEpA
Laura Mulvey | Visual Pleasure And Narrative Cinema Explained in Hindi,2312,40,70,1,1,0,1,15,1,1,3,P-ULFTFfsGk
The South by Langston Hughes | Summary in Hindi | Explanation in Hindi | Poetry | Langston Hughes,1971,51,97,4,0,0,1,13,0,0,1,edTNsPCpyUQ
Character Sketch in The Glass Menagerie | BA Eng Hons | Tennesse Williams | Character Analysis,1912,36,94,3,0,0,0,17,0,0,0,yiKHVOJUPFQ
Aunt Sue's Stories by Langston Hughes | Summary and Analysis | Line by Line Explanation in Hindi,1899,48,96,2,0,0,1,13,0,0,1,WsGlKTrFGPY
Things Fall Apart | Important question | Notes link in description,1824,45,66,2,1,1,0,15,0,0,2,-pS8OYvoFLY
A POEM FOR MY MOTHER | ROBIN NGANGOM | LINE BY LINE | FULL HINDI EXPLANATION | ANALYSIS,1643,37,87,4,0,0,0,15,0,0,0,ZzG9jbVkuus
I Cannot Live With You by Emily Dickinson - Summary and Line by Line Explanation in Hindi |,1400,38,91,1,0,1,1,10,0,0,2,US73Q0QP6Js
The Swan King | Ch 9 | Roots and Wings Class 6 | Jataka Tales | Difficult words in description box,1387,32,98,4,0,1,1,24,0,0,2,kSW2DBBhTCc
Beloved by Toni Morrison | Important Question Answers part 2 | DU | SOL | 2nd Yr | Most Expected,1136,32,96,5,0,0,1,20,0,0,1,89CXJIHipc8
The Swan King | Ch-9 | Class 6th Roots and Wings| Back exercise | Ques Answer | Fill in the blanks |,1128,26,100,6,0,0,1,24,0,0,1,__WqWnL92vY
The Real Crusoe | Daniel Defoe | Roots and Wings | Class 6 | English Literature | Robinson Crusoe,1071,24,97,5,0,1,1,15,0,0,2,k4BSpybnCIY
William Tell | Chapter 10 | Summary in hindi | Roots and Wings | Literature Reader,1036,26,82,4,0,0,1,13,1,1,2,De27CooCFl8
The character of Nur represents the state of Urdu language and literature in India. | SOL | ABE,948,22,95,2,0,0,1,11,0,0,1,Tm2oxCuUTyE
"Salman Rushdie’s narrative style in the short story ‘The Free Radio,’",924,18,69,0,1,1,1,13,0,0,3,2A9Zo3PGOnk
A Feast On The Train In HIndi| Ch 11 | Roots and Wings Class 6 | Difficult words in the description,856,23,99,3,0,1,1,20,0,0,2,NjmDWqfUUvk
Philemon and Baucis scene I | Roots and Wings | Class 6th English Literature | Explanation in Hindi,831,13,99,3,0,1,0,11,0,0,1,UbNe291__oQ
The Real Crusoe | Back Exercise |   Roots and Wings Class 6th |Literature Reader,826,11,80,3,0,0,1,16,0,0,1,c-mBMR5i0Dw
Abou Ben Adhem Back Exercise | Class 6th Roots and Wings | Literature reader,803,21,76,2,1,1,0,16,0,0,2,skvJAos0-ns
A Feast On The Train Back Exercise | Roots and Wings Class 6 | Question Answers | MCQ | Fill Ups,777,26,96,4,0,0,1,20,0,0,1,JHMb26lUurQ
Where The Mind Is Without Fear Back Exercise | Class 6th Roots and Wings | Literature reader,763,19,92,2,0,1,1,12,0,0,2,5Oycgj9Nc3g
William Tell | Chapter 10 | Back Exercise | Roots and Wings | Literature Reader,742,19,79,4,0,0,1,5,1,0,1,vMMbqwA94Y4
The ending of Twelfth Night problematizes the comic ending of the play. Do you agree? Give reasons.,740,21,99,0,0,0,1,16,0,0,1,KJH7b9dXZM8
Things Fall Apart | Cinua Achebe | Character Analysis | Nwoye | Character Sketch of Nwoye,560,13,89,4,0,1,0,15,0,0,1,o9-3QS5FBes
Philemon and Baucis scene 2 | Roots and Wings | Class 6th English Literature | BACK EXERCISE,513,15,92,3,0,1,0,13,0,0,1,qxrFHzB3FqQ
Abou Ben Adhem in Hindi | Roots and Wings Class 6 | Ch 13 | Difficult Words in Description,473,12,90,3,0,1,1,14,0,0,2,EwplAdEswO0
Beloved by Toni Morisson Summary in Hindi Ba Eng Hons 3rd sem Delhi University Sol,444,16,82,0,1,0,1,24,0,0,2,txXWinSsVJk
BA ENGLISH HONS ASSIGNMENT SOLVED 2nd sem | Dr. Faustus as a Christian play | NOTES IN DESCRIPTION,423,16,98,2,0,0,1,13,0,0,1,YaKkIJA33EY
Philemon and Baucis scene 2 | Roots and Wings | Class 6th English Literature | Explanation in Hindi,408,9,99,3,0,1,0,13,0,0,1,UJ3qHIBLHkM
Sonnet 60 by William Shakespeare | line by line explanation in Hindi | Summary,395,9,78,2,1,1,1,27,0,0,3,5kp56Js_Nbg
ABHIJAN SHAKUNTALAM SUMMARY | EXPLANATION | DU | SOL | CBCS | NOTES IN DESCRIPTION,359,15,82,5,0,0,1,13,0,0,1,R1gFIKW0e4s
The Comet and The Moon | Roots and WIngs | Class 6th | Poetry English Literature | Poem Explanation,352,3,99,4,0,1,1,11,0,0,2,kd3vTFj6hFk
Where The Mind Is Without Fear  | Ch 8 | Roots and Wings Class 6 | Difficult words in description,331,12,97,3,0,1,1,12,0,0,2,4VDlSfdQ2qg
The Glass Menagerie by Tennessee Williams | Summary and Explanation in Hindi | Buy notes link below,316,6,99,2,0,1,1,27,0,0,2,bDvtMvXAa0E
The Shadow Lines by Amitav Ghosh | Explanation in hindi | Purchase notes link in description,313,11,92,2,0,1,1,9,0,0,2,mqm0Ddq3ldM
A horse and two goats in hindi | R.K. Narayan | Summary | Explanation | BA Eng Hons,288,6,83,4,0,1,0,13,0,0,1,OxtEonL4XrI
The Color Purple by Alice Walker | Summary in hindi | Explanation | Major Characters,286,13,84,3,0,1,0,6,0,0,1,DODxezG7wTw
A Speech To Save Environment | Class 6 | Roots and Wings | English Literature,273,10,77,3,0,1,0,4,0,0,1,_S19W_nECtM
Write an essay on Books as Companion | Essay Writing | English | Beautifu; Handwriting,258,8,86,3,0,0,1,15,0,0,1,FPDkgoj8xAY
The Lamb Poem by William Blake in hindi | Summary | Explanation | Buy Notes Link in Description,231,10,95,3,0,0,0,10,0,0,0,HfGInQiM_4w
Tara By Mahesh Dattani Summary In Hindi,228,9,39,0,0,1,0,6,0,0,1,-dz1jvj5qIE
A Speech To Save Environment | Back Exercise | Class 6 | Roots and Wings | English Literature,208,8,93,4,0,1,0,0,0,0,1,oJvC1jYb1Nw
The lady Of Shalott by Alfred Tennyson Line by Line Explanation Part 1  British Lit. 19 cent,176,5,92,0,0,1,0,16,1,1,2,LzM7kLUamrM
O CAPTAIN MY CAPTAIN by WALT WHITMAN summary in Hindi | explanation in Hindi | DU | SOL | IGNOU,163,8,95,4,0,0,1,17,0,0,1,NikCbcaVeIk
Elegy Written In A Country Charchyard Poem Summary in Hindi | Thomas Grey | NOTES LINK BELOW,161,7,92,2,0,1,1,10,0,0,2,tBn3XXCvfQY
The Chocolate Room | Roots and Wings | Class 7th | English literature | Explanation,158,5,83,4,0,0,1,14,0,0,1,W2a2I-TZM-o
Coromandel Fishermen Explanation | Sarojini Naidu | Back Exercise | Class 7th Midnight Oil,148,5,90,3,0,1,0,13,0,0,1,zmREZ8Iwix8
London By William Blake | Summary and line by line explanation | analysis,140,5,73,2,1,0,1,19,0,0,2,lb7-LRC8Blw
My Grandmother's House by Kamala Das - Summary In Hindi,124,6,55,0,1,0,1,13,0,0,2,UfpCuxUztfQ
"English poem - Sonnet 1 by William Shakespeare - ""From Fairest Creatures"" line-line explain in hindi",115,5,100,0,0,0,1,30,0,0,1,t6XIHFrXMrU
The Chimney Sweepers (Songs of Innocence) by William Blake | Summary and line by line Explanation,107,6,97,1,0,1,0,23,1,1,2,KEB_629lExk
Line by Line Summary of Enterprise by Nissim Ezekiel |,100,6,54,1,1,0,1,23,0,0,2,rvVKsxjTCi0
The lady Of Shalott by Alfred Tennyson Line by Line Explanation Part 2  British Lit. 19 cent,92,3,92,0,0,1,0,16,1,1,2,cGddpj24q70
The Story of Shakespeare's Sonnets -summary in Hindi | Explained | Summary | Characters | Background,86,13,100,4,0,0,1,16,0,0,1,JaRQaB7NU-4
Things Fall Apart | Chinua Achebe | Introduction of Novel | Characters in Novel | Brief of Novel,82,11,96,4,0,0,0,26,0,0,0,uNHcPGqVLI0
Where the mind is without fear | BA eng hons sem 5 | line by line explanation in hindi | summary,74,5,96,3,0,1,1,1,0,0,2,MFbor3XlL5Q
Coromandel Fishermen Explanation | Sarojini Naidu | Line by line explanation,70,3,76,2,1,1,0,15,0,0,2,JmkosUeDzaA
The lady Of Shalott by Alfred Tennyson Line by Line Explanation Part 4 British Lit. 19 cent,55,4,91,0,0,1,0,17,1,1,2,TZv3AUbuJ_0
Things Fall Apart | Novel by Chinua Achebe | Summary in hindi | Explanation,55,8,75,3,0,1,0,14,0,0,1,J5eRxGyJvR4
"🎬""Sonnet 18"" by William Shakespeare | Sonnet 18 by William Shakespeare | line by line explanation",53,5,97,2,0,1,1,17,0,0,2,CxVD6FJzxOs
The lady Of Shalott by Alfred Tennyson Line by Line Explanation Part 3 British Lit. 19 cent,53,5,91,0,0,1,0,17,1,1,2,5UzY2tA_KT4
My Mother at Sixty Six class 12 summary | My mother at 66 class 12 | explanation,44,6,80,2,1,0,0,12,0,0,1,rbOvSQmD2SA
